City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
493,Kutum,SD,2022-11-20 17:18:10,14.2,24.6667,71.17,15,4,9.73,Dibbo areaمنطقة دبو
494,Soyo,AO,2022-11-20 17:18:11,-6.1349,12.3689,78.24,80,59,9.01,Hospedaria ndozi'ame
495,Mangrol,IN,2022-11-20 17:18:11,21.1167,70.1167,76.21,51,0,1.43,Hotel The Royal Honours
498,Kambove,CD,2022-11-20 17:18:12,-10.8764,26.5969,67.86,76,59,1.68,Pat. Mukendi
502,Salalah,OM,2022-11-20 17:16:24,17.0151,54.0924,80.69,61,20,4.61,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
503,Veraval,IN,2022-11-20 17:18:14,20.9,70.3667,75.87,48,2,3.44,Lords Inn Somnath
504,Katobu,ID,2022-11-20 17:18:14,-4.9408,122.5276,76.06,92,100,2.01,La Ode Husein
506,Mecca,SA,2022-11-20 17:18:52,21.4267,39.8261,80.69,53,2,2.95,"Makkah Clock Royal Tower, A Fairmont Hotel"
512,Guanambi,BR,2022-11-20 17:19:17,-14.2233,-42.7814,84.79,46,100,0.63,Hotel Portal Guanambi
513,Richards Bay,ZA,2022-11-20 17:19:17,-28.783,32.0377,66.25,69,45,5.86,BON Hotel Waterfront Richards Bay
519,Port Keats,AU,2022-11-20 17:19:19,-14.25,129.55,81.68,78,100,6.6,Kardu Durrikardu Numida Hostel
521,Pangkalanbuun,ID,2022-11-20 17:19:20,-2.6833,111.6167,74.41,98,100,2.62,Grand Kecubung Hotel
522,Mareeba,AU,2022-11-20 17:19:20,-17.0,145.4333,74.44,92,59,1.12,Trinity Plains Tourist Park
525,Vila Velha,BR,2022-11-20 17:19:21,-20.3297,-40.2925,78.75,72,75,8.05,Hotel Vitória Palace
527,Roebourne,AU,2022-11-20 17:19:22,-20.7833,117.1333,80.89,31,86,7.02,Latitude20 Roebourne Village
528,Huandacareo,MX,2022-11-20 17:19:22,19.9833,-101.2833,66.15,60,97,6.49,Balneario Vista Bella
529,Antofagasta,CL,2022-11-20 17:19:23,-23.65,-70.4,67.28,67,23,9.37,"Holiday Inn Express Antofagasta, an IHG Hotel"
532,Santa Rosa,PH,2022-11-20 17:19:24,14.3122,121.1114,81.09,85,97,8.46,Erlyn’s Sta Rosa City Home
535,Wau,SS,2022-11-20 17:19:25,7.7029,27.9953,83.28,25,63,3.13,Universal Gab Hotel
538,Limulunga,ZM,2022-11-20 17:19:26,-15.0969,23.1376,83.46,19,14,1.54,Acamms Gardens
541,Salaverry,PE,2022-11-20 17:19:27,-8.2333,-78.9667,66.58,85,65,8.12,ELACORP Alojamiento
543,Waingapu,ID,2022-11-20 17:19:28,-9.6567,120.2641,80.17,82,100,1.5,Pondok Wisata Elim
544,Vao,NC,2022-11-20 17:19:28,-22.6667,167.4833,73.45,78,89,8.93,Hotel Kou-Bugny
547,Pizarro,CO,2022-11-20 17:19:29,4.9533,-77.366,75.04,95,100,11.95,Hotel Limonar
549,General Macarthur,PH,2022-11-20 17:19:30,11.2464,125.5394,76.21,96,100,2.19,NC Apartment
554,Padang,ID,2022-11-20 17:20:32,-0.9492,100.3543,76.28,87,92,4.18,Mercure Padang
556,Ures,MX,2022-11-20 17:20:32,29.4333,-110.4,65.57,31,0,8.66,HOTEL SAHUARO HOUSE
558,Sur,OM,2022-11-20 17:20:33,22.5667,59.5289,77.65,61,0,2.71,Sur Plaza Hotel
561,Yulara,AU,2022-11-20 17:20:34,-25.2406,130.9889,71.4,23,96,13.98,Desert Gardens Hotel - Ayers Rock Resort
563,Cauquenes,CL,2022-11-20 17:20:34,-35.9671,-72.3225,75.9,14,0,13.06,Hotel Maule
565,Qiongshan,CN,2022-11-20 17:20:35,20.0058,110.3542,76.98,83,40,8.95,Sun City Restaurant
571,Turan,VN,2022-11-20 17:20:37,16.0678,108.2208,80.58,78,40,5.75,Grand Mercure Danang
574,Lampa,CL,2022-11-20 17:20:38,-33.2833,-70.9,83.07,21,0,16.11,El sueño de Lampa I y II
575,Tautira,PF,2022-11-20 17:20:38,-17.7333,-149.15,76.41,75,46,14.5,Pension Oaoa
578,Cap Malheureux,MU,2022-11-20 17:20:39,-19.9842,57.6142,75.47,68,5,1.01,Pereybere Hotel & Spa
580,Lapa,BR,2022-11-20 17:20:40,-25.7697,-49.7158,80.28,42,25,3.58,Pousada Solar da Lapa
586,Kupang,ID,2022-11-20 17:20:42,-10.1667,123.5833,77.58,100,75,4.61,Hotel On The Rock by Prasanthi
587,Mlonggo,ID,2022-11-20 17:20:42,-6.5333,110.7,79.68,82,32,2.46,Asia Metal Art
589,Gigmoto,PH,2022-11-20 17:20:43,13.7796,124.39,79.5,91,99,8.16,Cj's Travellers Inn
592,Karratha,AU,2022-11-20 17:20:43,-20.7377,116.8463,81.63,29,86,6.46,ibis Styles Karratha
594,Foso,GH,2022-11-20 17:20:44,5.7012,-1.2866,77.07,87,91,4.72,Pristina Cottage
595,Hualmay,PE,2022-11-20 17:20:44,-11.0964,-77.6139,69.24,72,100,8.48,Hotel Villa Kitzia Huacho
596,Sikonge,TZ,2022-11-20 17:20:45,-5.6333,32.7667,67.87,77,69,4.68,Sikonge Ndawvukilo Lodge
599,Yantzaza,EC,2022-11-20 17:20:46,-3.8278,-78.7594,84.22,59,15,4.18,HOTEL ALEJANDRO YANTZAZA
603,Tanete,ID,2022-11-20 17:21:47,-3.9443,119.7848,75.33,88,99,1.16,Wisma Tri Multi
607,Prado,BR,2022-11-20 17:21:48,-17.3411,-39.2208,73.99,89,94,6.26,Pousada Ingá
611,Bilma,NE,2022-11-20 17:21:49,18.6853,12.9164,76.28,15,54,4.45,Expeditions Ténére voyages
612,Bambanglipuro,ID,2022-11-20 17:21:49,-7.95,110.2833,76.15,89,51,8.75,Puri Brata
617,Los Llanos De Aridane,ES,2022-11-20 17:21:50,28.6585,-17.9182,68.13,69,75,16.11,Valle Aridane
